mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__metric,param_classifier__n_neighbors,param_classifier__p,param_classifier__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.034213590621948245,0.0023874930017346624,0.025462913513183593,0.0030771350702320428,manhattan,7,1,uniform,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 7, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.863905325443787,0.8520710059171598,0.908284023668639,0.8813056379821959,0.8367952522255193,0.8684722490474602,0.02466966949562155,25
0.0362393856048584,0.004351417655387382,0.02653975486755371,0.002218389318930398,manhattan,7,1,distance,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 7, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.8816568047337278,0.8816568047337278,0.9112426035502958,0.8931750741839762,0.8545994065281899,0.8844661387459836,0.018442510850933118,4
0.03495745658874512,0.004413040144288456,0.029381513595581055,0.003316951427914274,manhattan,7,2,uniform,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 7, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.863905325443787,0.8520710059171598,0.908284023668639,0.8813056379821959,0.8367952522255193,0.8684722490474602,0.02466966949562155,25
0.0328028678894043,0.002570745343096684,0.026453161239624025,0.0022410030711896445,manhattan,7,2,distance,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 7, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.8816568047337278,0.8816568047337278,0.9112426035502958,0.8931750741839762,0.8545994065281899,0.8844661387459836,0.018442510850933118,4
0.03363962173461914,0.003921263107603413,0.02498493194580078,0.0010898948815576952,manhattan,9,1,uniform,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.8520710059171598,0.8550295857988166,0.8905325443786982,0.8664688427299704,0.8338278931750742,0.8595859743999437,0.018685707086792968,28
0.03231062889099121,0.002483775700323019,0.025625181198120118,0.001826924110576548,manhattan,9,1,distance,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.8550295857988166,0.8875739644970414,0.908284023668639,0.8931750741839762,0.8486646884272997,0.8785454673151547,0.022916275975490882,13
0.0333521842956543,0.0023064778041271277,0.027537012100219728,0.0024166167751407956,manhattan,9,2,uniform,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 9, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.8520710059171598,0.8550295857988166,0.8905325443786982,0.8664688427299704,0.8338278931750742,0.8595859743999437,0.018685707086792968,28
0.03391761779785156,0.003498283972797102,0.02708125114440918,0.001956796077334328,manhattan,9,2,distance,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 9, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.8550295857988166,0.8875739644970414,0.908284023668639,0.8931750741839762,0.8486646884272997,0.8785454673151547,0.022916275975490882,13
0.03148965835571289,0.004323242664047659,0.02531576156616211,0.0014591209093727491,manhattan,11,1,uniform,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 11, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.8224852071005917,0.8609467455621301,0.8816568047337278,0.857566765578635,0.8338278931750742,0.8512966832300318,0.020925746802120643,31
0.03273820877075195,0.0022293799843208432,0.02881760597229004,0.004345234293378047,manhattan,11,1,distance,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 11, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.849112426035503,0.8816568047337278,0.9112426035502958,0.8724035608308606,0.8486646884272997,0.8726160167155375,0.023237379790421554,19
0.031493520736694335,0.0018312876436439858,0.025556325912475586,0.0011497168739549144,manhattan,11,2,uniform,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 11, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.8224852071005917,0.8609467455621301,0.8816568047337278,0.857566765578635,0.8338278931750742,0.8512966832300318,0.020925746802120643,31
